L,M,X,Y,U,V,P,RHO,Q,Mach,T
1.0,1.0,0.31,0.0,144.332,-0.0,69.216,0.347087,144.332,0.1269,78.2651
1.0,2.0,0.31,0.3571,141.7219,-0.0,69.244,0.347187,141.7219,0.1246,78.3272
1.0,3.0,0.31,0.7143,128.2803,-0.0,69.3801,0.347675,128.2883,0.1128,78.6293
1.0,4.0,0.31,1.0714,109.3612,-0.0,69.5491,0.348279,109.3612,0.0961,79.004
1.0,5.0,0.31,1.4286,86.435,-0.0,69.7181,0.348884,86.435,0.0759,79.3778
1.0,6.0,0.31,1.7857,62.273,-0.0,69.8536,0.349368,62.273,0.0547,79.6771
1.0,7.0,0.31,2.1429,39.9999,-0.0,69.9396,0.349675,39.9999,0.0351,79.8668
1.0,8.0,0.31,2.5,19.8533,-0.0,69.9851,0.349838,19.8533,0.0174,79.9672
2.0,1.0,0.497,0.0,146.0691,0.0,69.2904,0.347288,146.0691,0.1284,78.5319
2.0,2.0,0.497,0.354,143.4627,-4.4461,69.3196,0.347388,143.5516,0.1262,78.6038
2.0,3.0,0.497,0.7083,130.0268,-8.4555,69.4507,0.347845,130.3006,0.1145,78.9123
2.0,4.0,0.497,1.0619,110.931,-10.9369,69.6135,0.348395,111.4688,0.0979,79.3234
2.0,5.0,0.497,1.4159,67.8029,-11.7973,69.7741,0.34892,88.5919,0.0778,79.7545
2.0,6.0,0.497,1.7699,63.3199,-10.8059,69.8959,0.349328,64.2353,0.0564,80.0651
2.0,7.0,0.497,2.1239,40.725,-6.3105,69.973,0.349708,41.5643,0.0365,80.0739
2.0,8.0,0.497,2.4778,20.2377,-4.6653,70.0063,0.34985,20.8143,0.0183,80.1108
3.0,1.0,0.684,0.0008,153.222,0.0,69.1441,0.346842,153.2228,0.1347,78.0858
3.0,2.0,0.684,0.3439,150.4176,-8.0795,69.1721,0.346941,150.6344,0.1325,78.1501
3.0,3.0,0.684,0.6878,136.5817,-15.2234,69.2963,0.347379,137.4275,0.1208,78.4365
3.0,4.0,0.684,1.0317,116.4617,-19.671,69.4572,0.347946,118.1113,0.1038,78.8078
3.0,5.0,0.684,1.3755,92.128,-21.2109,69.6187,0.348556,94.5382,0.0831,79.1154
3.0,6.0,0.684,1.7194,66.2422,-19.719,69.7494,0.349177,69.1149,0.0607,79.1672
3.0,7.0,0.684,2.0633,42.274,-15.8931,69.8388,0.349479,45.1628,0.0397,79.3908
3.0,8.0,0.684,2.4072,21.3548,-11.2935,69.8902,0.349784,24.1572,0.0212,79.318
4.0,1.0,0.871,0.08,165.023,0.0,69.0375,0.346366,165.023,0.1451,77.9945
4.0,2.0,0.871,0.3243,161.8471,-12.7268,69.0716,0.346482,162.3467,0.1428,78.0821
4.0,3.0,0.871,0.6487,148.1388,-24.0734,69.2124,0.34697,150.0821,0.1319,78.4187
4.0,4.0,0.871,0.9734,127.6638,-31.8727,69.4034,0.347638,131.5824,0.1156,78.8667
4.0,5.0,0.871,1.2973,102.922,-35.843,69.6042,0.348388,108.9846,0.0957,79.2632
4.0,6.0,0.871,1.6217,76.1942,-35.2401,69.7817,0.348968,83.9523,0.0737,79.7398
4.0,7.0,0.871,1.946,51.5053,-32.0512,69.9154,0.349415,60.6636,0.0532,80.0812
4.0,8.0,0.871,2.2703,29.4211,-28.9397,70.0166,0.349004,41.2688,0.0362,81.4995
5.0,1.0,1.058,0.0,184.0563,0.0,68.793,0.345583,184.0563,0.162,77.3041
5.0,2.0,1.058,0.2977,180.4888,-16.5732,68.827,0.345704,181.2481,0.1595,77.3811
