SOLUTION SUHFACE NO.   250 - TIMF. a    .00(58212 SECONDS (DELTA T a    ,00000636)

           L    M          X             Y          U           V              P          RHU         U       MACH       T
                          (IN)          (IN)      (705)       (EPS)         (PSIA)     (LBM/ET3)    (EPS)      NO       (F)

           1    1      -3.boon         0.0000   218,2506      •0,0000        24,4617   ,103809     218.2506   ,1765   176.0323
           >    2      -3.6002          .3217   216.3467      -0.0000        24.4710   ,103837     216.3467   .1750   176.1012
           1    3      -3.bOOR          .6433   211,0650      -0,0000        24,4963   ,103914     211.0650   .1707   176,2889
           i    4      -3.6000          .9650   202.4249      -0.0000        24.5363   ,104035     202.4249   ,1637   176,5859
           1    5      -3.6000         1.2867   189,9)10      -0.0000        24,5914   ,104202     189,9110   ,1535   176,9940
           t    6      -3.6000         1.6083   174.1168      -0.2000        24,6561   ,104398     174,1168   ,1407   177.4720
           1    7      -3.6000         1.9300   164,5359      •0.0000        24,6934   ,104510     164,5359   ,1329   177,7474
           S    1      -3.4000         0.0000   220,5038       0.0000        24,4990   , 103923    220.5038   .1783   176,3022
           2    2      -3.4000          .3185   218,7400      -4,0464        24.5109   ,103960     218,7783   .1769   176,3904
           2    3      -3.4000          .6370   213.8199      -8.2875        24.5401   ,104048     213,9805   ,1730   176,6059
           2    4      -3.400(1         .9655   205,9606     -13.4604        24.5896   ,104198     206,4000   ,1668   176,9704
           2    5      -3.40011        1.2740   194.7161     -20.2002        24.6637   .104423     195,7611   ,1582   177,5146
           2    6      -3.400W         1.5925   100,9249     -29,6254        24,7622   ,104722     183,3343   ,1480   178.2341
           2    7      -3,4000         1.9110   174.0626     -46.6401        24,8416   ,104960     180,2029   .1454   178,8254
           3    t      -3.2000         0.0000   227,1668       0.0000        24,4463   .103763     227,1668   ,1838   175,9150
           3    2      -3.2000          ,309b   225.7720      -5,3792        24,4543   ,103787     225,8360   ,1827   175,9741
           3    3      -3.2000          .6191   221,6900     -10,9482        24,4738   .103846     221.9601   .1795   176,1190
           3    4      -3.2000          .9287   215,5644     -17.4423        24,5049   ,103941     216,2689   .1749   176,3485
           3    5      -3.2000         1,2383   207.0481     -25,0312        24.5548   ,104092     208,5557   ,1686   176.7162
           3    b      -3.2000         1.5479   198,1668     -35,7006        24,6088   .104257     201.3569   .1627   177.1105
           3    7      -3,2000         1.8574   198.207/     -53,1097        24,6476   ,104374     205,1997   .1658   177,3994
           '4   I      -3.0000         0.0000   235,6639       0.0000        24,4175   ,103676     235.6639   .1907   175.6968
           4    2      -3.0000          .3006   234.4539      -7.3429        24,4250   ,103699     234,5689   ,1898   175,7526
           4    3      -3.0000          .6013   230.8325     -14.8498        24,4423   .103/52     231.3097   ,1871   175,8806
           4    4      -3.0000          .9019   225,5461     -23.0375        24.4701   ,103836     226.7196   ,1834   176,0856
           4    5      -3.0000         1.2026   218.3708     -31.7397        24,5143   ,103971     220.6654   ,1784   176,4092
           4    6      -3.OOOfl        1,5032   211.9665     -43.1264        24.5537   ,104092     216.3096   ,1749   176,6889
           4    7      -3.0000         1.8038   212.2437     -56.8707        24,6007   .104231     219.7309   ,1776   177,0544
           5    1      -2.8000         0.0000   247,5469       0.0000        24.3459   ,103458     247.5469   ,2004   175,1670
           5    2      -2.8000          .2917   246,5466      -8,7/38        24,3526   ,103479     246,7027   .1997   175,2168
           5    3      -2.8000          .5834   243.3623     -17.7079        24.3666   ,103521     244,0057   ,1975   175,3216
           5    4      -2.8000          .8751   238.7445     -27,0514        24.3904   ,103594     240,2721   .1944   175,49/4
           5    5      -2.8000         <.1668   232.8556     -37.0282        24.4250   .103699     235,7813   ,1908   175,7524
           b    6      -2.8000         1.4585   227•6809     -48.4235        24.4573   .103798     232.7812   .1883   175.9860
           5    7      -2.8000         1.7503   228.6649     -61.2708        24.5005   ,103929     236,7314   ,1914   176,3066
           h    1      •2.6000         0,0000   261,7128       0,0000        24.2648   ,103213     261.7128   .2119   174,5560
           b    2      -2.6000          .2828   260.6302     -10.1521        24,2709   .103232     261.027/   .2114   174,6021
           6    3      -2.6000          .5656   257,8653     -20.3801        24.2848   ,103274     258.6694   .2094   174.7047
           6    4      -2.6000          .8483   253.6428     -30.8959        24.3073   ,103343     255.5175   ,2069   174,8705
           h    5      -2,6000         1.(311   248.3621     -41.6794        24.3390   ,103440     251.8351   .2038   175,1021
           6    b      -2.6000         1.4139   243,7855     -53.3241        24,3676   ,103529     249.5492   ,2020   175,3015
           6    7      -2.600H         1,6967   244.3368     -65.4700        24,4135   .103665     252.9561   ,2047   175,6627
           7    1      -2.4000         0,0600   278.6913       0.0000        24,1552   ,102879     278.6913   .2258   173,7395
           7    2      -2.4000          .2738   2/7.8506     -11,4203        24.1616   ,102899     278,0932   .2253   173,7883
           7    3      -2.4000          .5477   275.0155     -22.8667        24.1760   ,102942     275.9645   .2236   173,8962
           7    4      -2.4000          .8215   270,9450     -34.4379        24.1995   ,103014     273.1248   ,2213   174,0711
           7    5      -2.4000         1,0954   265.9299     -46.0672        24.2306   ,103109     269,8906   .2186   174,3033
           7    b      -2.4000         1.3692   261.3584     -57,9952        24.2601   ,103199     267.7156   ,2168   174,5205
           7    7      -2.4000         1.6431   261.2947     -70.0139        24.3087   ,103348     270.5122   ,2190   174.8742
           e    l      -2.2000         0.0000   298.2084       0.0000        24.0233   ,102479     298.2684   ,2419   172,7423
           6    2      -2.2000          .2649   297.4346     -12.6669        24,0303   ,102500     297.7043   .2414   172,7947
           8    3      -2.2000          .5298   294,5968     -25.3010        24,0464   ,102549     295.6813   .2398   172,9156
           8    4      -2.2000          .7947   290.4766     -37.9156        24.0724   .102629     292,9407   ,2375   173,1089
