     SOLUTION SUNFACC:       no.   250 - TIME a    .00158212 SECONDS (DELTA T =    ,00008638)

                L        M             X            r          U           V               P         HHO         U       MACH        T
                                      (IN)         (IN)      (EPS)       (EPS)          (PSIA)    (LBM/ET3)    (EPS)      NO        (E)

                 8       6         -2.2000        1.3246    280,4825    -62.7287        24.1385    ,102833    287.4114   ,2329    173,5864
                 8       7         -2.200H        1.5895    279,4577    -74,8807        24,1921    ,102992    289.3160   ,2344    174.0116
                 9       1         -2.0000        0.0000    320.7490      0.0000        23.8619    ,101985    320,7490   .2604    171.5322
                 9       2         -2.0000         .2560    319,8654    -13.9317        23,8697    .102009    320.1687   .2599    171,5911
                 9       3         -2.0000         .5120    316,9519    -27.7697        23,8681    .102065    318,1661   ,2582    171.7312
                 9       4         -2,0000         .7679    312,6118    -41.4462        23,9180    ,102156    315,3473   ,2559    171,9570
                 9       5         -2.0000        1,0239    307,1939    -54,7331        23,9557    ,102271    312,0317   .2531    172.2427
                 9       6         -2.0000        1.2799    301,6978    -67.7192        23.9939    ,102387    309.2046   .2508    172,5310
                 9       7         -2.0000        1.5359    299,5372    -80.2610        24.0541    ,102574    310,1038   .2514    172,9667
                10       1         -1.0000        P.0000    346.3661      0.O000        23,6682    . 101395   346,3661   .2815    170,0524
                10       2         -1.8000         .2471    345.3925    -15.2419        23.6768    ,101421    345,7286   ,2810    170,1177
                10       3         -1.8000         .4941    342.3345    -30.3344        23.6978    ,10148b    343,6758   .2793    170,2769
                10       4         -1.8000         .7412    337,6399    -45.1344        23,7321    ,101591    340,6432   .2767    170,5347
                10       5         -1.8000         .9682    331,7133    -59,3789        23.7754    .101724    336,9860   ,2737    170,8565
                10       6         -1.8000        1.2353    325,4397    -73.1379        23,8208    ,101866    333,5568   .2708    171,1825
                10       7         -1.8000        1.4823    321,9512    -86,2668        23.8898    ,102071    333,3085   ,2705    171,7416
                11       1         -1,6000        0.0000    375,5134      0,0000        23,4324    ,100671    375,5134   ,3056    168,2648
                11       2         -1.6000         .2381    374,4188    -16.6154        23.4421    ,100700    374,7873   ,3050    168,3393
                11       3         -1.6000         .4762    371.1809    -33,0393        23,4659    ,100773    372,6465   ,3032    168,5224
                11       4         -1,6000         .7144    366.0622    -49,0830        23,5053    ,100894    369,3381   ,3005    168,8245
                11       5         -1.6000         .9525    359,5270    -64.4590        23.5554    ,101047    365.2597   .2970    169,2101
                11       b         -1.6000        1.1906    352.3245    -79.1683        23.6098    ,101213    361,1097   ,2936    169,6314
                11       7         -1.6000        1.4267    347.3365    -93.0688        23.6904    ,101465    359,5893   ,2922    170,2123
                12       1         -1.4000        0,8000    408,9079      0,0000        23,1479    ,099799    408,9079   ,3334    166,0546
                12       2         -1.4000         .2292    407.6655    -18.1308        23,1585    ,099832    408,0685   ,3327    166,1365
                12       3         -1,4000         .4564    404,2326    -36,0390        23.1845    ,099912    405,8359   ,3308    166,3361
                12       4         -1.4000         .6876    398,6307    -53.4933        23,2283    ,100047    402,2039   .3278    166,6697
                12       5         -1.4000         .9168    391,3549    -70.1610        23.2850    ,100224    397,5943   ,3239    167,0972
                12       6         -1,4000        1.1459    383,0706    -86,0187        23.3495    ,100426    392,6096   ,3197    167,5669
                12       7         -1,4000        1.3751    376,33«1   -100,8387        23.4443    ,100707    389.6098   ,3171    168,3548
                1J       1         -1.2000        0.0000    447,1313      0.0000        22.7906    .098693    447,1313   .3653    163,2986
                13       2         -1.2000         .2203    445,7369    -19,6613        22.8027    ,098730    446,1704   ,3645    163,3940
                13       3         -1.2000         .4405    442.1427    -39.1094        22.8313    ,098819    443.8690   ,3626    163,6186
                13       4         -1.2000         .6608    436,0959    -58.1395        22,8806    ,098971    439,9543   ,3593    164,0057
                13       5         -1.2000         .8810    428.1243    -76.4190        22,9464    ,099173    434,8911   .3550    164,5264
                13       6         -1.2000        1.1013    418,6672    -93.7621        23,0238    ,099408    429.0379   .3500    165,1462
                13       7         -1.2000        1.3215    409,9834   -109,8551        23.1400    ,099777    424,4462   .3461    165,9803
                19       1         -1.0000        0,0000    491.8170      0,0000        22.3572    .097356    491,8170   ,4030    159.8453
                14       2         -1.0000         .2113    490.2796    -21.5428        22,3701    ,097396    490,7527   ,4021    159.9470
                14       3         -1.0000         .4226    486,6123    -42.8966        22.3991    ,097487    488.4994   .4002    160,1742
                14       4         -1.0000         .6340    480,2180    -63.8922        22.4504    ,097647    484.4498   . 3967   160,5728
                14       5         -1.0000         .6453    471.43)0    -04.0395        22.5213    ,097870    478,8631   ,3920    161,1150
                14       6         -1.0000        1.0566    460,5844   -103,1474        22.6094    ,098150    471,9930   .3861    161,7650
                14       7         -1.0000        1.2679    449.1457   -120.3486        22,7455    .098553    464.9899   ,3800    162,9506
                15       1          -.8000        0.0000    543,6828      0,0000        21.7821    .095555    543,6826   ,4471    155,2834
                15                  -.8000         .2024    542,0487    -22.9703        21,7965    ,095600    542.5352   .4461    155.4009
                15       3          -.0000         .4048    538.4690    -45.8802        21.8258    ,095691    540,4200   .4443    155,6414
                15       4          -.8000         .6072    531,9002    -68,7134        21.8802    .095860    536,3202   ,4408    156,0874
                15       5          -.8000         .8096    522.6432    -91.1922        21.9605    ,096107    530.5392   .4356    156,7555
                15       6          -.8000        1.0120    510,3910   -112.8464        22.0651    .096426    522.7172   .4291    157.6460
                15       7          -.8000        1.2144    496,5545   -133,0518        22.2581    ,097051    514.0711   ,4215    159.0362
                         1          -.6000        0.01)00   605.7994      0.0000        21.0913    ,093395    605.7994   .5005    149,5466
                16
                16       2          -,6000         .1935    604.2591    -25.2777        21,1046    ,093437    604.7876   .4997    149,6538
                16       3          -.6000         .3869    601.2402    -50.6770        21.1282    ,093513    603.3722   .4984    149.8407


ro                                                                     Fig. 10 (cont)

