CJ   SOLUTION SURFACE NO.     250 - TIME ■     ,00158212 SECONDS (DELTA T              00000638}
o
                L      M           X            T               U            V               P              RHO               U         MACH        T
                                  (IN)         (IN)           (FPS)        (FPS)          (PSIA)         (LBM/FT3)          (FPS)        NO        (F)

               16      6       -.6000          .5804     595,4506        -76.5530          21,1741           ,093661     600.3513       .4958    150,2000
               16      5       -.6000          .7738     586,3424       •102,2688          21.2470           ,093898     595,1943       ,4913    150,7570
               16      6       -.6000          .9673     573,5778       -128.0177          21.3467           .094228     587,6905       .4848    151,4746
               16      7       -.6000         1.1608     553,1442       -148,2150          21.5507           ,094828     572,6572       ,4717    153,4126
               17      1       -.4000         11.0000    679,9293           0,0000         20.1120           .090272     679,9293       .5656    141,3566
               17      2       -.4000          .1845     678.6968        -25,3110          20.1200           ,090297     679,1686       ,5649    141,4296
               17      3       -.4000          .3691     676,8210        -51.0818          20.1274           ,090319     678,7459       .5646    141.5005
               17      4       -.4000          .5536     672,4041        -77.9199          20.1488           ,090384     676.9038       ,5629    141,7062
               17      5       -.4000          .7381     664,7553       •106.3046          20,1967           .090527     673,2015       .5596    142,1826
               17      6       -.4000          .9226     649,7730       -136.1958          20.2636           .090717     663,8933       .5516    142,9160
               17      7       -,4000         1.1072     627,9869       -168,2691          20,7049           ,092179     650,1400       ,5386    146,2742
               18      1       -.2000         0,0000     767,7202           0,0000         18,9623           ,086583     767,7202       .6441    131,1364
               18      2       -.2000          .1756     767,7318        -26.9237          18,9591           ,086574     768,2037       ,6446    131,0940
               18      3       -.2000          .3512     766,7246        -55,0030          18.9365           ,086506     770,6898       ,6468    130,8548
               18      4       -.2000          .5268     770,0819        -86,4261          18.9007           ,086403     774.9165       ,6506    130,4457
               18      5       -.2000          .7024     770.7476       -121,8434          18,8823           ,086372     780,3190       .6553    130,0779
               18      6       -.2000          .8780     774.0238       -175.1882          18.7029           ,085858     793,6018       ,6676    127.9712
               18      7       -.2000         1,0536     731.2056       -195,9265          19,2978           ,087683     756.9999       .6336    134,0480
               IN      1         .0000        0.0000     881,7838           0,0000         17.2847           ,081080     881,7638       .7499    115.4064
               IN      2         ,11000        .1667     884,8922        -21,7872          17.2351           ,080919     885,1603       .7531    114,8961
               IN      3         .0000         .3333     892,4690        -44,5059          17.1095           ,080509     893,5780       .7611    113,6201
               IN      4         .0000         ,5000     907,4413        -69,5616          16,8712           ,079729     910,1036       ,7768    111.1565
               IN      5         .0000         .6667     929,8310        -95,3880          16,5257           ,078596     934,7109       .8004    107,5286
               19      6         .0000         .8333     970,9132       •136.3003          15,7535           ,076019     980,4337       .8457     99,3511
               IN      7         .0000        1.0000    1016.1021       -147,6067          15,2390           ,074031    1026.7674       , 8886    95,6104
               20      1         .2000        0,0000    1001,4017           0,0000         15,3667           ,074543    1001,4017       ,8660     96,4174
               20      2         .2000         ,1659    1006,6100        -10,2280          15,2797           ,074239    1006.6620       .8713     95,5332
               20      3         .2000         ,3310    1018,5216        -20,1734          15,0807           ,073541    1018,7213       ,8833     93,5037
               20      4         .2000         ,4977    1041,5218        -28.0663          14,7043           ,072212    1041.8999       ,9066     89,6199
               20      5         .2000         .6637    1074.2768        -28.8371          14,1890           ,070371    1074,6638       ,9397     84,2341
               20      6         .2000         .8296    1138.3593        -40.2369          13.1441           ,066588    1139,0702      1,0067     72,7999
               20      7         .20011        .9955    1193,2730        -26,9502          12,4972           ,064252    1193.5773      1,0626     64,9985
               21      1         .400(1       11.0000   1099,4854           0.0000         13,7553           .068831    1099,4854       .9657     79,4089
               21      2         .4000         .1659    1103,1248         -1.2130          13.6961           ,068616    1103.1255       .9695     78,7672
               21      3         .4000         .3317    1111.2973         -2.4079          13,5634           ,068134    1111,2999       .9780     77,3249
               21      4         .4000         .4976    1125,6585         -2.8971          13.3319           ,067290    1125,6623       .9930     74,7738
