CO    SOLUTION SURFACE NU,   345 - TIME *    .00237634 SECONDS   (DELTA T *    ,00000691)
-p*
                 L    M          X            T          U             V              P          RHO         Q       MACH       T
                                (IN)         (IN)      (FPS)         (FPS)         (PSIA)     (LBM/FT3)    (FPS)      NO       (F)

                  1    1     -4.4404        1.3000    109,4812       -0,0000        99,3430   ,506883     109,4812   ,0971    69,0027
                 1    2      -4.4400        1,8400    106.0169       -0,0000        99,3831   ,507029     106,0169   ,0940    69,0638
                  1   3      -4.4400        2.3830    212,9815       -0,0000        97,5259   ,500243     212,9815   ,1894    66,2199
                 1    4      -4,4400        2.9200    236.6861       •0,0000        96,9532   ,498143     236,6861   ,2107    65,3351
                 1    5      -4.4400        3.4600    276,8857       -0,0000        95,8470   ,494076     276,8857   ,2468    63,6156
                  1   6      -4.4400        4.0000    273,4428       •0,0000        95,9570   ,494481     273.4428   ,2437    63,7873
                 2     1     -4.1933        1.3417    107,4307       37,4142        99,2108   ,506393     113,7593   ,1009    68,8098
                 2    2      -4.1933        1.8734    104,0377       29,6151        99,2062   ,506362     108,1707   ,0960    68,8175
                 2    5      -4.1933        2,4350    214.2242       22,0820        97,4455   ,499962     215,3593   .1915    66.0820
                 2    '1     -4.1933        2.9367    237,1094       13.9520        96,9338   .498071     237,5195   ,2114    65,3056
                 2    5      -4.1933        3,4683    277,6715        7.3298        95,8509   ,494092     277.7683   ,2476    63.6205
                 2    6      -4.1933        4,0000    274.0878        0,0000        95,9535   ,494468     274.0878   ,2443    63,7824
                 J     t     -3.94b7        1.4851    112.9896       98,6735        98,7348   ,504664     150,0103   .1332    68,0751
                 3    2      -3• 94b7       1.9881    119,2811       55.7369        99,1459   ,506168     131.6609   .1168    68,6990
                 J    3      -3.94b7        2.4911    230,3713       50.8948        97,1220   ,498801     235.9263   ,2099    65,5554
                 3    4      -3.94b7        2,9940    245,1004       28.8405        96,7471   ,497390     246,7914   .2197    65,0115
                 3    5      -3.94b7        3.4970    284,0488       15.6501        95,6688   ,493423     284,4796   ,2537    63,3345
                 3    6      -3.94b7        4.0000    279,0134        0,0000        95,8206   ,493979     279.0134   ,2487    63.5740
                 U     1     -3.7OH0        1.7293    133.0260      133.0260        97,9867   ,501924     188,1272   .1672    66,9351
                 '1   2      -3.7000        2.1835    152,2549       70,3057        98,2987   ,503055     167,7034   ,1490    67,4243
                 4    3      -3.7000        2.6376    251,8880       69.9268        96,4944   ,496505     261,4141   .2328    64,5736
                 4    4      -3.7000        3.0917    258,5497       37,0252        96,2556   ,495578     261,1873   ,2327    64,2546
                 4    5      -3.7000        3,5459    293,1525       20.9197        95,3831   ,492369     293,8980   ,2622    62,8874
                 4    b      -3.7000        4,0000    287,4930        0.0000        95,5579   ,493011     287,4930   ,2564    63,1645
                 5     1     -3,4533        1.9750    165.0872      159,4938        97,2086   ,499081     229,5475   .2042    65,7285
                 5    2      -3.4533        2.3800    189,7552       88,9515        97,4650   ,500033     209,5695   . 1864   66,1113
                 5    3      -3.4533        2.7850    274,0965       86,3530        95,8902   .494289     287,3773   ,2562    63,6267
                 5    4      -3.4533        3.1900    275,5988       45.2297        95,7240   ,493625     279,2855   ,2490    63,4220
                 5    5      -3.4533        3.5950    305,6486       25,4583        95.0148   .491013     306,7070   ,2738    62,3076
                 5    6      -3.4533        4.0000    300,2397        0,0000        95,1903   ,491657     300,2397   ,2679    62,5870
                 6     1     -3.20b7        2.1978    205,2765      173,2552        96.0735   ,494909     268,6183   .2394    63,9703
                 6    2      -3.20b7        2.5582    229,6718      104,0684        96,2531   ,495595     252.1495   .2247    64,2229
                 6     3     -3.20b7        2.9187    297,7834       94,9364        95,0763   ,491294     312.5506   ,2790    62,3581
                 6     4     -3.20b7        3.2791    296.9780       50.8083        94,9696   ,490842     301.2929   ,2689    62,2412
