     SOLUTION SUHrALf. NO.   345 - TIME =    .00237634 SECONDS (DELTA T =     ,00000691)

                L     M          X            Y          U             V             P          MHO         0        MACH        T
                                (IN)         (IN)      (EPS)         (FPS)        (PSIA)     (LBM/FT3)    (EPS)       NO        (E)

               10     1      -2.2200        2,8463    385,7795     192,0533        90,0749   ,472645     430.9412    ,3876      54.3954
               10     2      -2.220O        3.0770    396,9902     137.6498        90.3795   .473682     420.1767    .3778      54,7871
               10     3      -2.2200        3.3078    426,5248     105,6109        90,1440   .472945     439,4053    .3952      54.4635
               10     4      -2.2200        3.5385    422.6905      64.3804        90,1463   ,472923     427,5654    .3845     54,5002
               10     5      -2.2200        3.7693    433,1660      31.9255        90,0516   ,472562     434.3409    .3907     54,3518
               10     6      -2.2200        4.0000    432,3408       0,0000        90,1354   .472872     432.3408    ,3888     54,4940
               11     1      -1.9733        2.9607    440,1175     189,7053        87.8573   .464311     479.2614    ,4326     50.7368
               11     2      -1.9733        3.1686    448,0872     136,0339        88,2164   ,465769     466.8662    ,4230     51,2182
               11     3      -1.9733        3.3764    471,3597     104,1647        88,1287   ,465373     482,7320    .4356     51,1456
               11     4      -1.9733        3.5843    466,6714      64,4745        88,1745   ,465519     471.1042    .4250     51,2510
               11     5      -1.9733        3,7921    474,8778      31,7414        88,1431   ,465393     475.9374    ,4294     51,2060
               11     6      -1.9733        4,0000    474.2174       0,0000        88,2221   .465686     474.2174    ,4278     51.3423
               12     1      -1.7267        3.0593    500,0783     184,4158        85,1723   ,454142     532.9986    .4833      46,2146
               12     2      -1.7267        3.2474    504.7398     135,5893        85,6008   ,455882     522.6344    .4736      46,8202
               12     3      -1.7267        3.4356    522,3541     101,1329        85,6519   ,456001     532.0542    ,4820      46,9892
               12     4      -1.7267        3.6237    516,6715      63,2783        85,7507   ,456353     520,5320    ,4715      47.1831
               12     5      -1.7267        3.8119    522.8704      31,0492        85,7759   .456442     523.7915    , 4744    47,2336
               12     6      -1.7267        4,0000    522,1891       0,0000        85,8554   ,456738     522.1891    ,4729     47.3748
               13     1      -1,4800        3.1429    566.2529     175,5815        61.9333   ,441756     592,8501    ,5405     40,6179
               13     2      -1,4800        3.3143    567,4408     130,0717        82,4540   ,443870     582,1578    ,5304      41,4001
               13     3      -1,4800        3,4858    579,7939      96,2310        82,6443   ,444521     587.7255    ,5352     41,8215
               13     4      -1.4800        3.6572    572,9430      60.6967        82,8076   .445125     576.1491    ,5245     42,1299
               13     5      -1.4800        3,8286    577.3073      29,7520        82,8869   ,445422     578.0735    .5262     42,2757
               13     6      -1.4800        4.0000    576,4726       0.0000        82,9705   ,445737     576,4726    ,5246     42.4267
               14     1      -1.2333        3.2125    639,0676     162,4290        78,0504   .426727     659,3865    ,6054      33,6883
               14     2      -1.2333        3.3700    636.5520     121,0465        78,6926   ,429342     647,9589    .5943     34,7195
               14     3      -1.2333        3,5275    643.9203      89,0877        79,0292   ,430567     650.0539    .5958     35.4213
               14     4      -1.2333        3.6850    635,7200      56.5499        79.2706   ,431485     638.2302    ,5847     35,8779
               14     5      -1.2333        3,8425    638,3532      27,7308        79,4040   ,431995     638,9553    ,5852     36,1254
               14     6      -1.2333        4.0000    637,2739       0,0000        79.4949   ,432340     637,2739    .5835     36,2970
               15     1       -.9867        3.2685    718.4278     143,9795        73.4700   ,408725     732.7132    ,6786     25.1849
               15     2       -.9867        3.4148    711.9765     107.8905        74.2675   ,411994     720,1048    ,6660     26,5599
               15     3       -.9867        3.5611    714.5835      79.2171        74,7626   ,413865     718.9610    ,6642     27,5894
               15     4       -.9867        3.7074    704,8565      50,5751        75.0970   ,415164     706.6686    .6524     28,2372
               15     5       -.9867        3.8537    705.8355      24,8312        75,2871   ,415905     706.2721    ,6518     28.6006
               15     6       -.9867        4.0000    704,4402       0,0000        75,3868   ,416293     704.4402    ,6500     28,7919
               16     1       -.7400        3.3115    803.7732     119.1704        68,1821   ,387547     812,5607    ,7607     14,8693
               16     2       -.7400        3.4492    793,2104      89,8965        69,1705   ,391649     798.2882    ,7456     16,7076
               16     3       -.7400        3.5869    791,2734      66.0987        69.8382   ,394253     794,0294    , 7408    18,1298
               16     4       -.7400        3.7246    779.9013      42,4700        70.2601   ,396011     781.0568    ,7280     19,0199
               16     5       -.7400        3.8623    779,2786      20,8999        70.5298   ,397005     779.5588    ,7262     19.5177
               16     6       -.7400        4.0000    7/7.5410       0.0000        70,6408   .397439     777,5410    ,7242     19,7486
               17     1       -.4933        3.3417    893.9432      86,9769        62.2513   ,363220     898, 1644   ,8519       2,6020
               17     2       -.4933        3.4734    879,1927      66,3566        63,4636   ,368344     881,6933    ,8340       5,0490
               17     3       -.4933        3.6050    873.0032      49,2059        64,3169   ,371780     874,3888    ,8254       6.9467
               17     4       -.4933        3.7367    859,9066      31.9340       '64,8781   .374068     860,4994    ,8113       8,1395
               17     5       -.4933        3.6683    057.7794      15,7672        65.1907   .375342     657.9243    .8083       8,7992
               17     6       -.4933        4.0000    855.6361       0,0000        65,3116   .375837     855,6361    .8059       9,0498
               10     1       -.2467        3.3595    987,1818      46.4557        55,8187   .336066     988.2743    .9522    -11,7118
               18     2       -.2467        3.4876    968,3735      36.6601        57.2806   ,342422     969,0721    ,9303     -8,4827
               IB     3       -.24o7        3.6157    958,2832      28,1325        58.3275   ,346782     958,6961    ,9179     -6,0113
               10     4       -.2467        3.7438    943,5326      18.7218        59.0161   ,349673     943,7183    .9020     -4,4493
               10     5       -.2467        3.8719    939.9736       9.3489        59,3931   .351253     940,0201    .8976     -3,6020
               18     6       -.2467        4,0000    937,6150       0.0000        59,5321   .351811     937.6150    .8950     -3,2594


U>                                                               Fig. 12 (cont)
cn

