SOLUTION SURFACE NO,   301 - TIME «    ,00162916 SECONDS    (DELTA T *   ,000005111)

           L    M          X            Y          U              V              P         HHO         0       MACH      T
                          (IN)         (IN)      (FPS)          (FPS)         (PSIA)    (LBM/FT3)    (FPS)      NO      (F)

           1    1        .3100        0,0300    144,3320       -0,0000        69,2160   ,347087     (44,3320   ,1269   78,2651
           1    2        .3100         ,3571    141,7219       -0.0000        69.2440   ,347187     141,7219   ,1246   78,3272
           t    3        .3100         ,7143    128,2803       -0,0000        69,3801   ,347675     128,2883   .1128   78,6293
           1    4        .3100        1.0714    109,3612       -0,0000        69,5491   ,348279     109,3612   ,0961   79,0040
           1    5        ,3100        1,428b     86,4350       -0,0000        69,7181   ,348884      86,4350   .0759   79,3778
           1    6        .3100        1,7857     62,2730       -0,0000        69,8536   ,349368      62,2730   ,0547   79,6771
           1    7        .3100        2.1429     39,9999       -0,0000        69,9396   ,349675      39,9999   ,0351   79,8668
           1    0        .3100        2,5000     19,8533       -0,0000        69,9851   ,349838      19,8533   ,0174   79,9672
           2    1        ,4970        0,000C    146,0691        0.0000        69,2904   ,347288     146,0691   ,1284   78.5319
           2    2        .4970         ,3540    143,4627       -4,4461        69,3196   ,347388     143.5516   .1262   78,6038
           2    3        ,4970         ,7083    130,0268       -8,4555        69,4507   ,347845     130,3006   ,1145   78,9123
           2    4        ,4970        1,0619    110,9310      -10,9369        69,6135   ,348395     111,4688   ,0979   79,3234
           >    ?        .4970        1,4159     67,8029      -11,7973        69,7741   ,348920      88,5919   ,0778   79,7545
           2    b        .4970        1.7699     63.3199      -10,8059        69,8959   ,349328      64,2353   .0564   80,0651
           2    7        .4970        2,1239     40,7250       -6,3105        69.9730   .349708      41.5643   ,0365   60,0739
           2    8        .4970        2,4778     20.2377       -4,6653        70,0063   ,349850      20.8143   ,0183   80,1108
           3    1        .6840        0.0008    153.2220        0,0000        69.1441   ,346842     153,2228   ,1347   78,0858
           3    2        .6840         ,3439    150,4176       -8.0795        69,1721   ,346941     150,6344   ,1325   78,1501
           3    3        .6840         ,6878    136,5817      -15,2234        69,2963   ,347379     137,4275   .1208   78,4365
           3    4        .6840        1,0317    116,4617      -19.6710        69.4572   ,347946     118.1113   .1038   78,8078
           3    5        .6840        1,3755     92,1280      -21,2109        69.6187   ,348556      94,5382   ,0631   79,1154
           3    b        .6840        1,7194     66.2422      -19,7190        69.7494   ,349177      69,1149   .0607   79,1672
           3    7        .6840        2,0633     42.2740      -15.8931        69,8388   ,349479      45,1628   ,0397   79,3908
           3    0        .6840        2.4072     21,3548      -11,2935        69,8902   ,349784      24,1572   .0212   79,3180
           4    1        .8710        0,0800    165,0230        0,0000        69,0375   ,346366     165,0230   .1451   77,9945
           4    2        .8710         .3243    161,8471      -12,7268        69.0716   ,346482     (62,3467   ,1428   78,0821
           4    3        .8710         .6487    148,1388      -24,0734        69,2124   ,346970     150.0821   ,1319   78,4187
           4    4        .8710         .9734    127,6638      -31,8727        69,4034   ,347638     131.5824   ,1156   78,8667
           4    5        .8710        1,29/3    102,9220      -35.8430        69.6042   ,348388     108,9846   ,0957   79,2632
           4    b        .8710        1,6217     76.1942      -35.2401        69,7817   ,348968      83,9523   ,0737   79.7398
           4    7        .8710        1.9460     51.5053      -32,0512        69,9154   .349415      60,6636   .0532   80,0812
           4    8        .8710        2.2703     29.4211      -28.9397        70,0166   ,349004      41,2688   .0362   81,4995
           5    1       1.0580        0.0000    184,0563        0,0000        68,7930   ,345583     184.0563   .1620   77,3041
           5    2       1.8580         ,2977    180.4888      -16.5732        68,8270   ,345704     181.2481   .1595   77.3811
           5    3       1.8580         .5955    167,0840      -31.6930        68.9608   ,346189     170.0632   .1496   77.6716
           5    4       1.8580         ,8932    146,2731      -42.9213        69,1497   ,346899     152.4403   .1341   78.0406
